id;sub_id;subcategory;url
16107;9808;Климатическая техника;https://www.wildberries.ru/catalog/elektronika/tehnika-dlya-doma/uvlazhniteli-i-vozduhootchistiteli
16107;5380;Красота и здоровье;https://www.wildberries.ru/catalog/elektronika/krasota-i-zdorove
16107;9244;Садовая техника;https://www.wildberries.ru/catalog/bytovaya-tehnika/sadovaya-tehnika
16107;5364;Техника для дома;https://www.wildberries.ru/catalog/elektronika/tehnika-dlya-doma
16107;5351;Техника для кухни;https://www.wildberries.ru/catalog/elektronika/tehnika-dlya-kuhni
16107;62379;Крупная бытовая техника;https://www.wildberries.ru/catalog/bytovaya-tehnika/krupnaya-bytovaya-tehnika
